"text","lang_zh","subType","dir"
"from behind","背后视角",视角,
"full body","全身",画面,
"from above","高位视角",视角,
"from side","侧边视角",视角,
"blurry background","多人背景",视角,
"back focus","背后焦点",视角,
"hip focus","臀部焦点",视角,
"facing away","人物面朝远方(背对)",视角,
"profile","侧脸",视角,
"first-person view","第一人称",视角,
"pov","主观视角",视角,
"pov hands","手主观视角",视角,
"pov crotch","胯部主观视角",视角,
"reference sheet","三视图进阶",视角,
"official art","三视图进阶",视角,
"multiple views","多视图",视角,
"out of frame","人物超出框",画面,
"head out of frame","头超出框",画面,
"feet out of frame","足超出框",画面,
"upper body","上半身",画面,
"lower body","下半身",画面,
"cropped torso upper body","躯干下剪裁",画面,
"cropped shoulders","肩下剪裁",画面,
"cropped arms","手臂下剪裁",画面,
"cropped legs","腿下剪裁",画面,
"cowboy shot","牛仔特写",画面,
"portrait","人像",画面,
"close-up","特写",画面,
"selfiemirror","自拍",画面,
"dakimakura","抱枕",画面,
"expressions","表情表",画面,
"dutch angle","斜角镜头",镜头,
"intense angle","强烈镜头",镜头,
"cinematic angle","电影镜头",镜头,
"dramatic angle","戏剧性镜头",镜头,
"dynamic angle","动态镜头",镜头,
"wide shot","远景",镜头,
"perspective","透视",镜头,
"foreshortening","正前缩距",镜头,
"fisheye","鱼眼",镜头,
"upside-down","颠倒",镜头,
"motion blur","运动模糊",镜头,
"depth of field","景深",镜头,
"lens flare","镜头光晕",镜头,
"blurry background","模糊背景",背景,
"simple background","简单背景",背景,
"sunburst background","旭日纹背景",背景,
"gradient background","渐变背景",背景,
"zoom layer","缩放投影图层",背景,
"backlighting","背光",背景,
"drop shadow","投影阴影",背景,
"outline","轮廓线",背景,
"silhouette","剪影",背景,
"space","太空",背景建筑,
"cityscape","城市风景",背景建筑,
"skyscraper","摩天楼",背景建筑,
"ruins","废墟",背景建筑,
"torii","鸟居",背景建筑,
"nature","大自然",背景建筑,
"field","田园",背景建筑,
"ocean","海洋",背景建筑,
"beach","海边",背景建筑,
"lake","湖泊",背景建筑,
"river","河流",背景建筑,
"onsen","温泉",背景建筑,
"starry sky","星空",背景建筑,
"outdoors","室外",背景建筑,
"indoors","室内",背景建筑,
"tatami","塌塌米",背景建筑,
"no humans","无人",背景建筑,
"masterpiece","提取高质量数据",风格,
"highres","高分辨率",风格,
"Unity Creations","统一风格",风格,
"contour deepening","轮廓加深",风格,
"flat color","纯色块",风格,
"monochrome","单色",风格,
"greyscale","灰度",风格,
"high contrast","高对比度度",风格,
"partially colored","部分着色",风格,
"chromatic aberration","色差色失焦",风格,
"comic","漫画",风格,
"capanime screencap","动画截图",风格,
"sketch","素描",风格,
"pixel art","像素风",风格,
"chibi","Q版",风格,
"art nouveau","新艺术运动(慕夏)",风格,
"realistic","现实的",风格,
"retro artstyle","复古风格",风格,
"1980s (style)","1980风格",风格,
"1990s (style)","1990风格",风格,
"megami magazine","女神杂志",风格,
"doujinshi doujin cover","同人志风",风格,
"card games","卡牌风",风格,
"photo (medium)","照片",媒体,
"watercolor (medium)","水彩",媒体,
"oil painting (medium)","油画",媒体,
"colored pencil (medium)","彩色铅笔",媒体,
"graphite (medium)","铅笔画",媒体,
"marker (medium)","马克笔",媒体,
"nib pen (medium)","签字笔",媒体,
"ballpoint pen (medium)","原子笔",媒体,
"acrylic paint (medium)","丙烯颜料",媒体,
"ahoge","呆毛",头发,
"bangs","刘海",头发,
"blunt_bangs","齐刘海",头发,
"curly_hair","卷发",头发,
"drill_hair","钻头卷/公主卷",头发,
"hair_bun","包子头",头发,
"double_bun","包子头(两个)",头发,
"ponytail","马尾",头发,
"short_ponytail","短马尾",头发,
"side_ponytail","侧马尾",头发,
"messy_hair","凌乱发型",头发,
"hime_cut","姬发式",头发,
"payot","长鬓角",头发,
"wavy_hair","波浪发型",头发,
"silver_hair/silver_eyes","银发/银眼",颜色,
"grey_hair/grey_eyes","灰发/灰眼",颜色,
"white_hair/white_eyes","白发/白眼",颜色,
"brown_hair/brown_eyes","棕发/棕眼",颜色,
"black_hair/black_eyes","黑发/黑眼",颜色,
"purple_hair/purple_eyes","紫发/紫眼",颜色,
"red_hair/red_eyes","红发/红眼",颜色,
"blue_hair/blue_eyes","蓝发/蓝眼",颜色,
"green_hair/green_eyes","绿发/绿眼",颜色,
"short_hair","短发",头发,
"long_hair","长发",头发,
"very_long_hair","很长的头发",头发,
"no_nose","没鼻子的",头发,
"fangs","尖牙",头发,
"tongue","舌头",头发,
"saliva","唾液",头发,
"animal_ears","动物耳朵",头发,
"fox_ears","狐狸耳朵",头发,
"bunny_ears","兔耳",头发,
"cat_ears","猫耳",头发,
"dog_ears","狗耳",头发,
"mouse_ears","老鼠耳朵",头发,
"pointy_ears","尖耳",头发,
"looking at viewer","看观众",头部,
"facing viewer","面对观众",头部,
"looking at another","看着另一个",头部,
"looking to the side","看侧边",头部,
"looking away","不看镜头",头部,
"looking back","回头看",头部,
"looking down","往下看",头部,
"looking up","往上看",头部,
"looking afar","遥望",头部,
"staring","盯着",头部,
"eye contact","对视",头部,
"sideways glance","斜视",头部,
"parted lips","开嘴",头部,
"open mouth","开口",头部,
"closed mouth","闭嘴",头部,
"tongue out","吐舌",头部,
"licking lips","舔嘴唇",头部,
"clenched teeth","咬紧牙关",头部,
"smile","微笑",头部,
"grin","露齿笑",头部,
"evil smileevil grin","坏笑",头部,
"smirk","得意笑",头部,
"smug doyagao","自鸣得意",头部,
"troll face","幸灾乐祸",头部,
"seductive smile","诱人的微笑",头部,
"breath","呼吸",头部,
"headpat","摸头",头部,
"crying","哭哭",头部,
"crying with eyes open","张眼哭",头部,
"cheek-to-cheek","脸贴脸",头部,
"arched back","弓背",姿势,
"stretching","拉伸",姿势,
"lying on back","躺着",姿势,
"on stomach","趴着",姿势,
"on side","侧躺",姿势,
"sitting","坐着",姿势,
"wariza","w坐割座",姿势,
"all fours","四肢着地",姿势,
"jack-o' challenge","jack-o",姿势,
"legs over head","双腿过头",姿势,
"fetal position","胎儿姿势",姿势,
"selfie","自拍",姿势,
"looking through legs","通过腿看",姿势,
"outstretched arms","伸出双臂",手,
"outstretched arm","伸出单臂",手,
"outstretched hand","伸出单手",手,
"reaching","伸手触及",手,
"spread arms","张开双臂",手,
"zombie pose","殭尸姿势",手,
"arm up","单抬臂",手,
"arms up","双抬臂",手,
"presenting armpit","展示腋下",手,
"presenting panties","展示内裤",手,
"arms behind head","手臂放头后",手,
"arms behind back","手臂放后面",手,
"hands on hips","双手叉腰",手,
"hand to own mouth","手放嘴上",手,
"hand on own face","手放脸上",手,
"hugging own legs","抱自己的腿",手,
"arm support","手臂支撑",手,
"hand in own hair","拨头发",手,
"hands in hair","双手拨头发",手,
"adjusting hair","调整头发",手,
"tying hair","扎头发",手,
"holding hands","牵手",手,
"interlocked fingers","手指相扣",手,
"own hands clasped","双手相扣",手,
"own hands together","双手相合",手,
"clenched hands","紧握双手",手,
"open hands","张开双手",手,
"spread fingers","张开手指",手,
"handjob gesture","打手枪手势",手,
"between legs","XX夹腿间",腿,
"hand between legs","手夹腿间",腿,
"legs up","抬双腿",腿,
"knees up","膝盖向上",腿,
"knees to chest","膝到胸",腿,
"pigeon-toed","内八",腿,
"m legs","M字腿",腿,
"plantar flexion","足部屈曲",腿,
"presenting foot","展示脚部",腿,
"spread toes","伸展脚趾",腿,
"feet up","脚悬空",腿,
"shiny hair","闪亮头发",头发,
"blonde hair","金发",头发,
"multicolored hair","多色头发",头发,
"split-color hair","分色头发",头发,
"gradient hair","渐变头发",头发,
"streaked hair","条纹头发",头发,
"colored tips","尖端挑染",头发,
"colored inner hair","彩色内毛",头发,
"short hair","短发",头发,
"bowl cut","蘑菇头",头发,
"medium hair","中长发",头发,
"bob cut","妹妹头",头发,
"flipped hair","翘发",头发,
"long hair","长发",头发,
"hime cut","姬切",头发,
"low-tied long hair","低扎长发",头发,
"ponytail","马尾",头发,
"high ponytail","高马尾",头发,
"low ponytail","低马尾",头发,
"side ponytail","侧马尾",头发,
"short ponytail","短马尾",头发,
"front ponytail","前马尾",头发,
"low twintails","低双马尾",头发,
"short twintails","短双马尾",头发,
"braided ponytail","编织马尾辫",头发,
"folded ponytail","折迭马尾辫",头发,
"quad tails","四马尾",头发,
"single braid","单辫",头发,
"low twin braids","低双辫",头发,
"side braid","侧织辫",头发,
"crown braid","冠型织辫",头发,
"french braid","法式辫子",头发,
"dreadlocks","脏辫",头发,
"braided bangs","辫子刘海",头发,
"hair bun","发髻",头发,
"single hair bun","单发髻",头发,
"double bun","双发髻",头发,
"cone hair bun","锥形发髻",头发,
"braided bun","辫子髻",头发,
"doughnut hair bun","甜甜圈发髻",头发,
"heart hair bun","心型发髻",头发,
"curly hair","卷发",头发,
"wavy hair","自然卷",头发,
"drill hair","钻发",头发,
"twin drills","双钻发",头发,
"ringlets","小环管卷发",头发,
"bangs","浏海",头发,
"asymmetrical bangs","不对称浏海",头发,
"blunt bangs","齐浏海",头发,
"hair over eyes","刘海遮眼",头发,
"hair over one eye","刘海遮单眼",头发,
"parted bangs","分开浏海",头发,
"swept bangs","扫浏海",头发,
"hair between eyes","眼间发",头发,
"sidelocks","耳前发",头发,
"single sidelock","单耳前发",头发,
"short hair with long locks","长耳前+短发",头发,
"hair intakes","进气口(M毛)",头发,
"half updo","侧发后梳(公主结)",头发,
"hair pulled back","头发后梳",头发,
"one side up","一侧绑发",头发,
"two side up","双侧绑发",头发,
"multi-tied hair","多绑头发",头发,
"bow-shaped hair","蝴蝶结发",头发,
"topknot","顶绑发",头发,
"messy hair","凌乱头发",头发,
"pointy hair","尖发动耳发",头发,
"hair flaps","毛瓣",头发,
"hair spread out","头发散落",头发,
"ahoge","呆毛",头发,
"antenna hair","天线毛",头发,
"blush","脸红",脸,
"embarrassed","尴尬害羞",脸,
"orgasm","高潮",脸,
"torogao","恍惚放荡",脸,
"drunk","酒醉",脸,
"ahegao","阿嘿颜",脸,
"fucked silly","干到傻",脸,
"naughty face","戏弄调戏脸",脸,
"wince","皱眉蹙眼",脸,
"shaded face","阴暗脸",脸,
"disgust","厌恶",脸,
"annoyed","恼火",脸,
"pout","噘嘴",脸,
"nervous","紧张",脸,
"confused","困惑",脸,
"scared","害怕",脸,
"pain","疼痛",脸,
"screaming","尖叫",脸,
"surprised","惊讶",脸,
"turn pale","脸色苍白",脸,
"sad","悲伤",脸,
"gloom (expression) depressed","忧郁",脸,
"sigh","叹息",脸,
"expressionless","无表情",脸,
"sleepy","想睡的",脸,
"serious","认真",脸,
"frown","皱眉",脸,
"v shaped eyebrows","V字眉",脸,
"furrowed brow raised eyebrows","八字眉",脸,
"raised eyebrow","挑眉",脸,
"short eyebrows","短眉",脸,
"thick eyebrows","浓眉",脸,
"drooling","流口水",脸,
"wavy mouth","波浪嘴",脸,
"teeth","牙齿",脸,
"upper teeth","上牙",脸,
"sharp teeth","鲨鱼牙",脸,
"clenched teeth","咬紧牙关",脸,
"round teeth","圆齿",脸,
"fang","虎牙",脸,
"skin fang","嘴虎牙",脸,
"tongue","舌头",脸,
"lipstick","口红",脸,
"pointy ears","尖耳朵",脸,
"horns","犄角",脸,
"eyes visible through hair","眼透头发",眼,
"bandage over one eye","绷带遮单眼",眼,
"closed eyes","闭眼",眼,
"one eye closed","闭单眼",眼,
"half-closed eyes","半开眼",眼,
"squinting","瞇眼",眼,
"tsurime","吊眼角",眼,
"tareme","下垂眼",眼,
"upturned eyes","上看的眼睛",眼,
"empty eyes","失神眼",眼,
"sanpaku","三白眼",眼,
"jitome","半开平线眼",眼,
"cross-eyed","斗鸡眼的",眼,
"uneven eyes","不对称眼",眼,
"crazy eyes","疯狂眼睛",眼,
"wide-eyed","睁大眼睛",眼,
"glowing eyes","发光眼睛",眼,
"ringed eyes","圈圈眼",眼,
"constricted pupils","收缩的瞳孔",眼,
"slit pupils","猫瞳",眼,
"horizontal pupils","水平瞳孔",眼,
"heart-shaped pupils","爱心瞳",眼,
"symbol-shaped pupils","符号瞳",眼,
"heterochromia","异色瞳",眼,
"no pupils","没有瞳孔",眼,
"bright pupils","发亮瞳孔",眼,
"eyelashes","眼睫毛",眼,
"eyeshadow","眼影",眼,
"eyeliner","眼线",眼,
"bikini","比基尼",衣服,
"string bikini","系绳比基尼",衣服,
"untied bikini","解开比基尼",衣服,
"front-tie bikini top","前系带比基尼上着",衣服,
"swimsuit","泳装",衣服,
"one-piece swimsuit","连体泳衣",衣服,
"school swimsuit","学校泳衣",衣服,
"competition swimsuit","竞赛泳衣",衣服,
"sportswear","运动服",衣服,
"volleyball uniform","排球服",衣服,
"china dress","旗袍",衣服,
"serafuku","水手服",衣服,
"school uniform","校服",衣服,
"buruma","布鲁玛",衣服,
"collared shirt","高领衬衫",衣服,
"leotard","紧身衣",衣服,
"strapless leotard","无肩带紧身衣",衣服,
"highleg leotard","高叉紧身衣",衣服,
"thong leotard","丁字紧身衣",衣服,
"leotard under clothes","衣服下紧身衣",衣服,
"taut clothes","紧身衣服",衣服,
"taut shirt","紧身衬衫",衣服,
"sheer tulle dress","薄纱连衣裙",衣服,
"chiffon dress","雪纺连衣裙",衣服,
"tank top","背心",衣服,
"dress","连身裙",衣服,
"backless dress","露背连身裙",衣服,
"halter dress","绕颈连身裙",衣服,
"sweater dress","毛衣连身裙",衣服,
"backless outfit","露背装",衣服,
"sweater","毛衣",衣服,
"turtleneck sweater","高领毛衣",衣服,
"ribbed sweater","罗纹毛衣",衣服,
"off-shoulder sweater","露肩毛衣",衣服,
"shoulder cutout","肩膀切口",衣服,
"hip vent","臀部切口",衣服,
"heart cutout","心型切口",衣服,
"back cutout","后背切口",衣服,
"underboob cutout","下胸切口",衣服,
"corset","束腹",衣服,
"crop top","小可爱露腹短上衣",衣服,
"skirt","裙子",裙子,
"denim shorts","牛仔短裤",裤子,
"pants","裤子",裤子,
"kneehighs","膝下袜",袜子,
"garter straps garter belt","吊袜带",袜子,
"socks","袜子",袜子,
"toeless legwear","无趾护腿",袜子,
"high heels","高跟鞋",鞋子,
"sneakers","运动鞋",鞋子,
"cross-laced footwear","交叉系带鞋",鞋子,
"boots","靴子",鞋子,
"knee boots","膝下靴",鞋子,
"ankle boots","短靴",鞋子,
"lace-up boots","系带靴",鞋子,
"loafers","乐福鞋",鞋子,
"no shoes","不穿鞋",鞋子,
"gloves","手套",手套,
"elbow gloves","肘部手套",手套,
"paw gloves","猫猫手套",手套,
"fingerless gloves","无指手套",手套,
"sleeves","袖子",手套,
"detached sleeves","分离式袖子",手套,
"wide sleeves","宽袖",手套,
"ribbon-trimmed sleeves","丝带饰边袖子",手套,
"sleeveless","无袖",手套,
"wrist cuffs","手腕袖口",手套,
"bridal gauntlets","婚礼手套",手套,
"rabbit tail","兔尾",配饰,
"suspenders","吊带",配饰,
"scarf","围巾",配饰,
"maid headdress","女仆头饰",配饰,
"belt","腰带",配饰,
"ribbon","丝带",配饰,
"hair ribbon","发带",配饰,
"neck ribbon","颈带",配饰,
"hat ribbon","帽带",配饰,
"thigh strap","大腿带",配饰,
"veil mouth veil","薄纱面纱",配饰,
"bridal veil","婚礼面纱",配饰,
"halo","光环",配饰,
"bell","铃铛",配饰,
"cowbell","牛铃",配饰,
"tassel","流苏",配饰,
"mask","面罩",配饰,
"hair ornament","发饰",配饰,
"hair rings","发环",配饰,
"hair flower","发花",配饰,
"hair bow","蝴蝶结",配饰,
"hair stick","发簪",配饰,
"chest","胸肌",胸部,
"breasts","胸部",胸部,
"flat_chest","贫乳(A",胸部,
"medium_breasts","中等胸部(C",胸部,
"huge_breasts","巨乳(E",胸部,
"gigantic_breasts","魔乳(F",胸部,
"nsfw","？",NSFW,
"ugly","丑",反向关键词,
"vore","丸吞",反向关键词,
"duplicate","重复",反向关键词,
"morbid","病态",反向关键词,
"mutilated","残缺",反向关键词,
"trannsexual","变性",反向关键词,
"hermaphrodite","双性",反向关键词,
"extra fingers","多余的手指",反向关键词,
"fused fingers","融合的手指",反向关键词,
"too many fingers","太多的手指",反向关键词,
"long neck","长脖子",反向关键词,
"mutated hands","变异的手",反向关键词,
"poorly drawn face","画得不好的脸",反向关键词,
"mutation","突变",反向关键词,
"deformed","变形",反向关键词,
"blurry","模糊",反向关键词,
"bad anatomy","坏解剖",反向关键词,
"bad proportions","坏比例",反向关键词,
"malformed limbs","畸形的四肢",反向关键词,
"extra limbs","额外四肢",反向关键词,
"cloned face","克隆脸",反向关键词,
"disfigured","毁容",反向关键词,
"gross proportions","大体比例",反向关键词,
"missing arms","失踪的手臂",反向关键词,
"missing legs","失踪的腿",反向关键词,
"extra arms","多余的手臂",反向关键词,
"extra legs","额外的腿",反向关键词,
"racing suit","赛车服(By KimZuo)",衣服,
"nurse","护士服(By Yao_men)",衣服,
"latex","乳胶紧身衣(By Yao_men)",衣服,
"lab_coat","白大褂(By Yao_men)",衣服,
"black stocking","黑丝(By 你不史蒂夫)",袜子,
"convenience store uniforms","便利店工作服(By 糯米)",衣服,
"summer long skirt","夏日长裙",衣服,
"garter_belt","连腰吊带袜(By 好人)",袜子,
"striped_socks","横条袜(By 好人)",袜子,
"loose_socks","泡泡袜(By 好人)",袜子,
"legwear","裹腿(By 好人)",袜子,
"kneehighs","长袜(By 好人)",袜子,
"business suit","西装",衣服,
"white_hair,red_eyes","白发/红瞳",颜色,
"yukata","浴衣",衣服,
"hood","兜帽",配饰,
"nurse cap","护士帽",配饰,
"crown","皇冠",配饰,
"beret","贝雷帽",配饰,
"hood","兜帽",配饰,
"hairband","发卡",配饰,
"glasses","眼镜",配饰,
"sunglasses","太阳镜",配饰,
"blindfold","眼罩",配饰,
"eyepatch","眼罩(独眼)",配饰,
"earrings","耳环",配饰,
"collar","项圈",配饰,
"sailor collar","水手领",配饰,
"necklace","项链",配饰,
"santa","圣诞装",衣服,
"crossed_legs","二郎腿",姿势,
"church","教堂",背景建筑,
"kneel","跪姿",姿势,
"pink hair","粉发",颜色,
"cinematiclighting","电影光效",画面效果,
"depthoffield","景深",画面效果,
"floating hair","漂浮的头发",头发,
"gothic_lolita","哥特洛丽塔风格",衣服,
"breast hold","托乳",手,
"underpants","内裤",裤子,
"slippers","拖鞋",鞋子,
"barefoot","赤脚",鞋子,
"pink_hair","粉发",颜色,
"mahou shoujo","马猴烧酒风格",衣服,
"white background","白色背景",背景,
"horn","角",头部,
"kneeling&setting on floot","萝莉坐",姿势,
"earrings","耳环",配饰,
"necklace","项链",配饰,
"bowtie","领结",配饰,
"red eyes,write hairs,girl,simle,open legs","白毛",二次元,
"heavy breathing","呼吸急促",头部,
"bare shoulders","裸露的肩膀",姿势,
"Maid dress","女仆装",衣服,
"photorealistic","逼真的",风格,
"sitting on the ground","坐在地上",姿势,
"uwabaki","女式学生鞋",鞋子,
"colorful startrails","五彩斑斓的星轨",背景,
"black suit","西服(black黑)-by bilibili-跑酷",衣服,
"looking at viewer,(from side:1.2),( head tilt:1.65),(leaning_back:1.25)","新房45度(By 姓符的绅士)",视角,
"standing split","一字马",姿势,
"tiara","三重冕",配饰,
"neck ribbon","頸帶",衣服,
"double peace hand","雙V手勢",手,
"white_hair,red_eyes","白发/红瞳",颜色,
"beret","贝雷帽",配饰,
"smile","微笑",脸,
"arms behind back","手臂在背后",姿势,
"doggystyle","狗趴式",姿势,
"fingersmile","用手指做出笑脸",手,
"thick_thighs","粗腿",腿,
"no_bra","无胸罩",衣服,
"{photorealistic}, {painting}, {realistic}, {sketch}, {oil painting}","厚涂",媒体,
"wariza","鸭子坐（女子座）",姿势,
"flowers meadows","繁花草甸",背景建筑,
"gradient eyes","渐变眼",眼,
"cyberpunk","赛博朋克",风格,
"Cherry blossoms","櫻花",背景,
"shooting star","流星",背景,
"conjoined black silk","黑丝连体衣",衣服,
"gouache","水粉",媒体,
"wet gouache","湿画法水粉",媒体,
"Cape hood","兜帽斗篷",衣服,
"leather shoes","皮鞋",鞋子,
"aquagradient eyes","水汪汪的眼睛",眼,
"shop","商店",背景建筑,
"symmetrical","对称",画面,
"Simple pattern background","简单花纹背景",背景,
"beige background","米色背景",背景,
"extremely detailed CG unity 8k wallpaper","高清壁纸",风格,
"one-piece dress","连衣裙",裙子,
"space background","空间背景",背景,
"nun gown","修女服",衣服,
"cityscape","城市背景",背景,
"gray hair purple eyes","灰发紫眼",颜色,
"fountain","喷泉",背景建筑,
"military uniform","军装",衣服,
"hanfu","汉服",衣服,
"beautiful golden eyes","金色的瞳孔",眼,
"bokeh","散景",背景,
"Precise geometry","精确的几何形状",风格,
"torn clothes","破损的衣物",衣服,
"umbrella","伞",配饰,
"trousers with suspenders","吊带裤",裤子,
"Black blue hair","黑蓝色头发",颜色,
"Dark brown hair","深棕色头发",颜色,
"gilt border","镀金边框",画面,
"giant green shark tail","粗尾巴",配饰,
"Large area of cyan Pick dyeing","希尔发色外黑内蓝",颜色,
"crazy angry smile,clenched_teeth","狂气龇牙/坏笑",头部,
"Line art","线稿",风格,
"airport background","机场背景",背景,
"dungeon background","地牢背景",背景,
"beach background","沙滩背景",背景,
"Alps","阿尔卑斯山脉",背景建筑,
"lilac_hair/lilac_eyes","浅紫发/浅紫眼",颜色,
"tarot","塔罗牌风格",风格,
"beauty mark","beauty mark",二次元,
"flying butterfly","飞翔的蝴蝶",背景,
"arms crossed","手交叉于胸前",手,
"wizard hat","巫师帽",配饰,
"straight hair","直发",头发,
"Aestheticism Painting","唯美主义",风格,
"bloomers","灯笼裤",裤子,
"street","街道",背景建筑,
"white_hair/green_eyes","白发/绿眼",颜色,
"grin","露齿笑",脸,
"Isekai cityscape","異世界奇幻城市",背景,
"detailed manga illustration","精细漫画插画",风格,
"black hair","黑发",颜色,
"half body under water","泡温泉",姿势,
"turquoise","青色",颜色,
"cloak","披风",衣服,
"cumulonimbus","积雨云",背景建筑,
"deformed legs","畸形腿",反向关键词,
"top-down_bottom-up","趴着翘臀",姿势,
"blue_eyes","蓝眼",颜色,
"white_windbreaker","白色风衣",衣服,
"bob","鲍勃头（雷姆式）",头发,
"more than 2 knee","一条腿多个膝盖",反向关键词,
"backlight","背光",镜头,
"black_hair/blue_eyes","黑发蓝瞳",颜色,
"chibi","Q版",风格,
"open your legs wide","開腳",姿势,
"batwing","蝙蝠翅膀",配饰,
"wind coat","风衣",衣服,
"detailed background","详细背景",背景,
"crystal pink_hair","宝石粉发",颜色,
"cross necklace","十字架项链",配饰,
"Fireworks","烟花",背景,
"High heeled gift shoes","高跟礼鞋",鞋子,
"girls' frontline","少女前线",二次元,
"cow_bikini","奶牛比基尼",衣服,
"Open-backed sweater","露背毛衣",衣服,
"cyberpunk city","赛博朋克城市",背景建筑,
"on bed","在床上",背景,
"god rays","自上而下的光",画面效果,
"glowing light","荧光",画面效果,
"male focus","男性焦点",视角,
"female focus","女性焦点",视角,
"chinese style architecture","古风建筑",背景建筑,
"tears","眼泪",脸,
"armpits","漏腋",姿势,
"underboob","南半球",胸部,
"fisherman's hat","漁夫帽",配饰,
"backpack","背包",配饰,
"Beard","絡腮鬍",脸,
"mustache","八字鬍",脸,
"goatee","山羊鬚",脸,
"FLIGHT Goggles","飛行員護目鏡",配饰,
"tiaras","抹额（公主冠）（by残阳）",饰品,
"w-sitting on the ground","坐在地上(XWX)",姿势,
"tan line","曬痕",衣服,
"fighting_stance","战斗姿态",姿势,
"picture frame","边框",画面效果,
"sitting on chair","坐在椅子上",姿势,
"sailor dress","水手服",衣服,
"see-through","透明衣服",衣服,
"gym_uniform","运动制服",衣服,
"platinum_hair","白金发色",颜色,
"sandals","凉鞋",鞋子,
"artbook","原画",风格,
"intricate detail","复杂的细节",风格,
"high heeled sandals","高跟凉鞋",鞋子,
"small breastsinds","一个女孩",胸部,
"masterpiece, best quality,highly detailed","李素裳",二次元,
"open  mouth","张嘴",脸,
"lawn","草坪",背景,
"with lightsaber","光剑",配饰,
"forehead","额头",头部,
"wolf ear fluff","狼耳",头发,
"{{{origami art}}}, paper art","折纸艺术",风格,
"{{{paper Figure}}}, origami art, 3d","纸艺风格",风格,
"fate stay night; saber","fate stay night; saber",风格,
"firearms","枪械",配饰,
"summer dress","夏日连衣裙",裙子,
"cinematic angle","电影镜头",视角,
"mouth mask","口罩",配饰,
"headphone","耳机",配饰,
"yoga","瑜伽",姿势,
"thigh gap","绝对空域（大腿三角）",姿势,
"coffee house","咖啡馆",背景,
"poorly drawn asymmetric eyes","眼睛优化",反向关键词,
"right side temple hair","右边侧发",头发,
"left side temple hair","左边侧发",头发,
"temple hairs","双侧发",头发,
"alpine","高山,山脉",背景,
"mutated breasts","畸形的胸部（？",反向关键词,
"boxing gloves","拳击手套",手套,
"tie","领带",配饰,
"evening dress","晚礼服",衣服,
"full dress","礼服",衣服,
"food on face","食物在脸上（by 冬日谎言）",脸,
