"text","lang_zh","subType","dir"
"twin slut strands","双龙须刘海",头发,
"slut strands","龙须刘海",头发,
"looking up,no pupils,empty eyes,drooling,messy_hair,open  mouth","被催眠的",脸,
"combat suit","战斗服",衣服,
"art of light novel","轻小说插画风",风格,
"See-through Pajamas","See-through Pajamas",裤子,
"horse riding","骑马",姿势,
"streaked hair","挑染",头发,
"turtleneck sweater","高领毛衣",衣服,
"colored sclera","有色巩膜（眼白）",眼,
"round eyes","圆眼",眼,
"cleavage","乳沟",胸部,
"Baseball cap","棒球帽",配饰,
"Knitted hat","针织帽",配饰,
"beautiful detailed sky","漂亮的天空",画面效果,
"beautiful detailed water","漂亮的水",画面效果,
"cinematic angle","电影角度",镜头,
"magazine cover","杂志封面",风格,
"Ink wash painting","水墨",风格,
"poncho","小披风",衣服,
"naval cap","海军帽",配饰,
"jack-o'-lantern","捷克南瓜燈",配饰,
"sunlight","阳光",画面效果,
"ray tracing","光线追踪",画面效果,
"reflection light","反射光",画面效果,
"bob cut","鲍伯头",头发,
"ukiyo-e","浮世繪",风格,
"purple_hair","紫色头发（羽化前）",头发,
"laxet glove","乳胶手套",手套,
"pink_hair","粉色头发（羽化前）",头发,
"orange_hair","橙色头发",头发,
"brown_hair","棕色头发（羽化前）",头发,
"blue_hair","蓝色头发",头发,
"black hair","黑色头发（羽化前）",头发,
"aqua_hair","水蓝色头发（羽化前）",头发,
"white hair","白发",头发,
"no shoe","不穿鞋",鞋子,
"slit pupils","猫眼（竖瞳）",眼,
"casual wear","休闲服(素上衣、牛仔裤)",衣服,
"battlefield","战场",背景,
"heterochromia","异色瞳",眼,
"lab coat","实验袍",衣服,
"tiny tits","贫乳又又又又",胸部,
"flat shading","平面着色",风格,
"colorful","色彩化",风格,
"school_uniform","学校制服",衣服,
"Organza lace","透明硬纱/蕾丝花边",裙子,
"{{splatoon}}","斯普拉遁",风格,
"ukiyo-e","浮世绘",风格,
"vector tracing","矢量追踪",风格,
"colorful","色彩化",风格,
"90's","90年代",风格,
"watercolor","水彩画",风格,
"silhouette","剪影",风格,
"traditional media","传统媒体",风格,
"outline","描边",风格,
"ink and wash painting","水墨画",风格,
"colored pencil drawing","彩铅绘",风格,
"rough sketch","素描草图",风格,
"dakimakura","抱枕",风格,
"anime screencap","动漫截图",风格,
"comic book","漫画书",风格,
"magazine scan","杂志扫图",风格,
"fake screenshot","伪截图",风格,
"character design","角色设定图",风格,
"official art","官方图",风格,
"figure","手办",风格,
"papercraft","纸模",风格,
"voxel art","体素画",风格,
"pixel art","像素画",风格,
"4koma","四格漫画",风格,
"soviet poster","苏维埃海报",风格,
"poster","海报",风格,
"octane render","OC渲染器",风格,
"realistic","写实",风格,
"flat color","平涂/平色",风格,
"flat shading","平面着色",风格,
"screentones","网点",风格,
"Bracelet","手镯",手,
"monochrome","单色画",风格,
"sweet_lolita","甜美可爱的洛丽塔",衣服,
"fishnet top","网纹衣",衣服,
"tabi","日本式短布袜",袜子,
"geta","木屐",鞋子,
"gohei","神社",背景建筑,
"tail","尾巴",配饰,
"military_uniform","军装",衣服,
"from the Side below","侧下",视角,
"Witch dress","魔女风格服",衣服,
"Miko clothing","巫女服",衣服,
"crotchless panties","无裆内裤",衣服,
"Vaporwave","蒸汽波",风格,
"flat color","平涂",风格,
"cane","手杖",配饰,
"red moon","红月,血月",背景,
"sharp focus","锐聚焦",视角,
"Cold-weather mask","口罩",配饰,
"broom","扫把",配饰,
"headband","额前的发带",配饰,
"Cyberpunk","赛博朋克",风格,
"overcoat","大衣",衣服,
"Wings with sun gears","太阳齿轮翅膀(大量齿轮,翅膀更多更乱,效果意外不错",配饰,
"Orange hair","橙色头发",头发,
"meticulous painting","工笔画（比起素描感觉更适合ink）",媒体,
"sideboob","侧乳",胸部,
"clear face,expressionless","面无表情",脸,
"incredibly_absurdres","超高分辨率出图",画面,
"hand on cortch","掰开",手,
"masterpiece","杰作",画面效果,
"Extra ears","额外的耳朵(针对兽耳)",反向关键词,
"Bustling city","繁华都市",背景建筑,
"science fiction","科幻风格",风格,
"tachie","立绘",风格,
"farm","农场",背景,
"metrosexuality","都市型美男子",脸,
"wet clothes","湿润的衣服",衣服,
"High heeled boots","高跟长筒靴",鞋子,
"cabbie_hat","报童帽",配饰,
"puffy sleeves","蓬松的大袖子",手套,
"half-closed eyes","半闭眼",眼,
"robe","长袍",衣服,
"trench_coat","战壕风衣",衣服,
"pointe shoes","芭蕾舞足尖鞋",鞋子,
"black pantyhose","黑色裤袜",袜子,
"strapless tank top, navel cutout","抹胸",衣服,
"ray tracing","光线追踪",画面,
"laboratory","实验室",背景建筑,
"parka","派克大衣",衣服,
"formal dress","礼服",衣服,
"mary_janes","玛丽珍鞋（猪腰子鞋）",鞋子,
"coffee house","咖啡馆",背景建筑,
"lolita_fashion","洛丽塔风格",衣服,
"latex gloves","乳胶手套",手套,
"no underwear","无内衣",衣服,
"Silver hair","银发",颜色,
"Yu-Gi-Oh,kazuki takahashi","游戏王",风格,
"purple eyes","紫眼",颜色,
"serafuku,shorts,kneehighs,leather shoes","水手服正太",二次元,
"blur_background","背景虚化",背景,
"chromatic aberration","色差(类似于抖音的logo那种)",画面效果,
"Xiao Qingyi Single ponytail cheongsam black","少女",二次元,
"grey_messy_long_hair","灰色杂乱长发",头发,
"Skin made of water","水做的肌肤（碧蓝水色的皮肤颜色）",颜色,
"The wheel of fire","火焰之轮（附着火焰的法轮？）",配饰,
"striped panties","条纹内裤",裤子,
"Dirndl","紧身连衣裙",裙子,
"Chestnut_hair","栗子色头发",头发,
"walk","行走",姿势,
"rain","雨",背景,
"dormitory","宿舍",背景建筑,
"gym","健身房",背景建筑,
"kitchen","厨房",背景建筑,
"temple","寺庙",背景建筑,
"museum","博物馆",背景建筑,
"library","图书馆",背景建筑,
"prison","监狱",背景建筑,
"engine room","轮机舱",背景建筑,
"electrical room","配电房",背景建筑,
"server room","服务器机房",背景建筑,
"hanfu","汉服",衣服,
"wire","电线",配饰,
"electricity","电流",背景,
"antenna hair clips","天线头饰（类似于碧蓝航线中绫波的头饰）",配饰,
"blue sky with clouds","蓝天白云",背景,
"grassland","草地",背景,
"handrail","栏杆",背景建筑,
"crescent","新月",背景,
"book","书",配饰,
"laptop","笔记本电脑",配饰,
"cafe","咖啡馆",背景,
"neon lights","霓虹灯",背景建筑,
"snowfield","雪地",背景,
"street lamp","路灯",背景建筑,
"road","道路",背景建筑,
"snowflakes","雪花",背景,
"sailor dress","水手裙",衣服,
"earmuffs","御寒耳罩",配饰,
"aurora","极光",背景,
"pockets","口袋",配饰,
"buttons","纽扣",配饰,
"mittens","连指手套",手套,
"zentai","紧身连体衣",衣服,
"hair_flower","发花",配饰,
"leather jacket","皮衣",衣服,
"bulletproof_vest","防弹衣",衣服,
"spider web print","蛛网纹路",衣服,
"shanty town/slum","贫民窟",背景建筑,
"hidden hands","隐藏手",手,
"hair between eyes","两眼之间的头发",头发,
"naughty_face","下流的表情",脸,
"Split head","中分头",头发,
"floating white feathers","漂浮的白色羽毛",背景,
"glinting stars","闪烁的星星",背景,
"platform boots","厚底高跟靴",鞋子,
"more abdominal muscle","增加腹肌",胸部,
"pair of horns","一对角",头部,
"basement","地下室",背景建筑,
"sweet_lolita","sweet_lolita",衣服,
"shibari","束缚",配饰,
"lace-trimmed_gloves","蕾丝边手套",手套,
"casqueete","鸭舌帽",配饰,
"starry sky,clusters of stars","繁星",背景,
"long wavy curly hair","长长的卷发",头发,
"aqua_hair","水色头发（浅蓝）",颜色,
"ahoge","呆毛",饰品,
"Dreamy forest","梦幻之森(虚幻感.光粒子幽静)",背景建筑,
"ink splashing","墨水溅",风格,
"barefoot","裸足",腿,
"violet","紫罗兰",背景,
"wariza","鸭子坐",姿势,
"no_panties","没有内裤",裤子,
"heart-shaped_pupils","爱心瞳孔",眼,
"heterochromia blue red","异色瞳",眼,
"Ushanka","苏联毛帽",配饰,
"white long hair,suit,pistol,black stockings,red eyes","白毛红瞳黑丝",二次元,
"art room","美术室",背景建筑,
"warehouse","仓库",背景建筑,
"one side up hair","披肩单马尾",头发,
"two side up hair","披肩双马尾",头发,
"blonde_hair/blue_eyes","金发/蓝眼",颜色,
"floating sakura","散落樱花",背景,
"thighhighs_on_one_leg","过膝袜（单侧）",袜子,
"pocket watch pendant","怀表",配饰,
"starry sky,clusters of stars,starry sky,glinting stars","星空",背景,
"updo hair","团子头(和风)",头发,
"torn clothes","撕裂的衣服",衣服,
"red_eyes","红眼",颜色,
"Long skirt","长裙",裙子,
"high saturation","高饱和度",镜头,
"fox_ears,anklet,chest, more abdominal muscle","狐狸",二次元,
"gold trim","金边修饰效果",画面效果,
"less clothes","无",衣服,
"latex","乳胶衣",衣服,
"dark-skinned_female","黑皮（女性）",颜色,
"red Soviet","苏联红军",画面,
"lens 135mm,f1.8","聚焦人物镜头",镜头,
"pixiv id","p站风格",风格,
"pleated skirt,heterochromia, ukiyo-e,poncho","萌萌",画面,
"tawny eyes/tawny hair","茶色瞳/发",颜色,
"red eyes","红眼",颜色,
"Chinese style,One-piece swimsuit,Clothes with gold patterns","中式死库水（辉木）",衣服,
"Zentangle (medium)","禅绕",媒体,
"blonde_hair/yellow_eyes","金发/金眼",颜色,
"tentacle_sex","触手play",NSFW,
"grey_hair","灰发",颜色,
"Rainboots","雨靴",鞋子,
"Raincoat","雨衣",衣服,
"Rainskirt","雨裙",裙子,
"Wear eyes,Long haired handsome man","戴眼镜的长发帅哥",二次元,
"gothic architecture","哥特式建筑",背景建筑,
"shushing","“嘘”手势",手,
"red_hair","红发",颜色,
"white_hair/blue_eyes","白发/蓝眼",颜色,
"white_hair","白发",颜色,
"lying","躺着",姿势,
"jeans","牛仔裤",裤子,
"snow","雪 by czz",背景,
"Girl pink hair pink eyes cute","小奈",二次元,
"best quality,highly detailed,masterpiece,ultra-detailed,{photorealistic}","御姐",二次元,
"insertionExtreme expansionstomach protrusion,azur lane,infant,kemono","漏内裤幼女",二次元,
"tentacle_under_clothes","衣服底下的触手",NSFW,
"Mai Shiranui","不知火舞",衣服,
"loli red","魅魔萝莉",头发,
"girl,yellow cloth,glass,short hair,black hair","认真讨论的女记者",二次元,
"cyberpunk, city, kowloon, rain","赛博朋克",背景,
"green hair","绿发",头发,
"girl,cat ears,Succubus,boobs,wife,sorcerer","魔法师魅魔",二次元,
"wedge heels","坡跟鞋",鞋子,
"strappy heels","有带子的高跟鞋",鞋子,
"pair of horns,sideways glance,staring,Skirt lift,torn_thighhighs,medium_breasts","小魅魔",二次元,
"grayscale","灰度图",风格,
"pajamas","睡衣",衣服,
"street wear","街头风格服饰",衣服,
"[see-through:evening dress:0.3]","透明晚礼服 by czz",衣服,
"illustration","插图",风格,
"loli,one girl,domineering lady, nun","修女",衣服,
"clock_background","时钟背景",背景建筑,
"kemomimi","兽耳",头部,
"white_hair/blonde_eyes","白发/蓝瞳",颜色,
"bathrobe","浴袍",衣服,
"armor","铠甲",衣服,
"bathing","浴室",背景建筑,
"coat","外套",衣服,
"poorly drawn hands","画得不好的手",反向关键词,
"light smile","微笑",脸,
"insertionExtreme expansionstomach protrusion,azur lane,infant,kemono,naked","漏内裤幼女",二次元,
"hoodie","连帽衫(带帽卫衣)",衣服,
"sweatshirt","圆领卫衣",衣服,
"white_hair red_eyes long_hair chemise leggings caramelldansen","白毛御姐",二次元,
"white_hair/blue_ey","白发/蓝眼",颜色,
"loli,white hair,girl,blue eye","白发",头发,
"big ass","大屁股",腿,
"flower_crown","花环",饰品,
"girl on top","正骑乘",姿势,
"small_breasts","贫乳",胸部,
"blue and white striped bikini","蓝白条纹比基尼",衣服,
"striped_thighhighs","条纹过膝袜",袜子,
"black_thighhighs","黑色过膝袜",袜子,
"white_thighhighs","白色过膝袜",袜子,
"Tactical bulletproof vest","防弹背心",配饰,
"armlet","臂环/臂章",配饰,
"combat boots","战术靴",鞋子,
"head chain, jewelry","头链 (参考Wlop风铃公主的头饰,成功率低)",配饰,
"beautiful detailed eyes","精细的眼睛",眼,
"tied up(nonsexual)","捆绑（非黄）",配饰,
"pray","祈祷",姿势,
"restaurant","饭店",背景建筑,
"treehouse","树屋",背景建筑,
"veil","头纱",配饰,
"Cassock","神父/修生黑袍",衣服,
"white stocking","white stocking",袜子,
"power armor","动力甲",衣服,
"modern,Europe","法兰西",背景建筑,
"singing sang.","唱歌",脸,
"seamed legwear","接缝裤袜",袜子,
"thighhighs","过膝袜",袜子,
"thighband pantyhose","绑腿连裤袜",袜子,
"(miko thighhighs)","巫女袜",袜子,
"cheongsam","旗袍（效果好）",衣服,
"soaked","浸湿（如果有内衣会透的更明显）",衣服,
"knees together","双腿并拢",腿,
"tail insertion,infant,kemono,pornography,china dress,nsfw","旗袍萝莉",NSFW,
"from the Side below Black silk","侧下",视角,
"choker","贴颈项链",配饰,
"dungarees","工装",衣服,
"skindentation","绝对领域勒肉版",腿,
"loli","黑丝",袜子,
"Minamoto no Raikou,Thights,fanbox,footjob,purple bodysuit,leg lift","源赖光妈妈",二次元,
"turtleneck,ribbed sweater,see-through,wet clothes,covered nipples","透明毛衣/湿的毛衣",NSFW,
"1girl,military uniform,white gloves,flat chest,long hair,white shirt","军装少女",二次元,
"glaive","阔剑/弯刀/飞刀",配饰,
"Witch_hat","女巫帽",配饰,
"forest","森林",背景,
"uneven twintails","不对称双马尾",头发,
"bra visible through clothes","透过衣服能看到胸罩",衣服,
"lace-trimmed bra","蕾丝边胸罩",衣服,
"bow panties","蝴蝶结胖次",裤子,
"indian clothes,chinese clothes,Cleopatra","一些风格服饰",衣服,
"cut-in","插入画面",画面,
"Belly Dancer","肚皮舞者",衣服,
"straw hat","草帽",饰品,
"fundoshi","兜裆布",裤子,
"hair_bow","蝴蝶结发饰",配饰,
"capelet","斗篷",配饰,
"gem","宝石",饰品,
"chinese clothes,china dress","中国的衣服裙子",衣服,
"backlighting,side_ponytail,soviet poster,wind coat,looking away,walk","风衣大姐",二次元,
"Black hair, black eyes,sailor suit,eyeshade","日本女高中生",二次元,
"strapless dress","无肩带礼服",裙子,
"conjoined white silk","连体白丝",衣服,
"lact-trimmed","蕾丝的,后面加东西就行",袜子,
"Industrial wind, Chinese architecture","工业化古建筑",背景建筑,
"overall view","全景",镜头,
"green_hair","绿发",头发,
"silver_hair/cyan_eyes","银发/青眼",颜色,
"see-through serafuku","透明水手服",衣服,
"num clothes","修女服",衣服,
"ass visible through thighs","屁股通过大腿可见",腿,
"highleg swimsuit","高叉泳衣",衣服,
"revealing dress","礼服长裙",衣服,
"{rough sketch}","草稿风",风格,
"heterochromia golden red","异色瞳",眼,
"licking","舔",脸,
"top-down bottom-up","翘PP",姿势,
"shackles","脚铐",鞋子,
"rabbit ears","兔子耳朵",头发,
"sea","海水",背景,
"jk face leg","黑丝jk",腿,
"Loong, dragon background, loong background","龙背景",风格,
"bandage","绷带",配饰,
"huddle, clasp knees","抱膝",姿势,
"hospital gown","病号服",衣服,
"starry sky","星空",背景,
"cameltoe","骆驼趾/骆驼肌(紧身效果)",裤子,
"straight-on","正面面对",视角,
"missing toes","丢失的脚趾",反向关键词,
"princess carry","公主抱",姿势,
"Han Chinese Clothing","汉服",裙子,
"ahoge,messy_hair,black_hair/black_eyes,school uniform,papilla","月下水上白丝小女孩（负）（种子274538177）",二次元,
"Cyan eyes","青色眼瞳",眼,
"White clothes","白色衣服",衣服,
"building,rain,neon lights,cumulonimbus,moon","雨中都市",背景,
"building_ruins","建筑废墟",背景建筑,
"tiny_chest","无乳",胸部,
"holding umbrella","拿着伞",手,
"Greek clothes","希腊服饰",衣服,
"blonde_hair","金发",颜色,
"pubic tattoo","淫纹",NSFW,
"bouncing breasts","弹跳的乃子",NSFW,
"naked overalls","棵体背带裤",NSFW,
"mountain","山脉",背景建筑,
"super hugeness breasts","爆乳",胸部,
"Denim suspenders","吊带牛仔裤",裤子,
"bedroom","卧室",背景建筑,
"leotards","紧身连衣裤",衣服,
"V-NECK SWEATER VEST","V领针织毛衣（无袖背心）",衣服,
"phoenix eye","丹凤眼",眼,
"Pumpkin skirt","南瓜裙",衣服,
"halloween_costume","万圣节服装",衣服,
"soft shell coat","软壳外套",衣服,
"stirrup legwear","踩脚袜,马镫裤",袜子,
"tail between legs","尾巴夹腿间",腿,
"tan","日烧色（晒黑）",颜色,
"tanlines","日烧痕迹（晒黑线）",颜色,
"bat_wing","蝙蝠翅膀",配饰,
"minimalist-lines","极简线条",风格,
"aqua_eyes","水色眼睛（浅蓝）",颜色,
"lovely","学校",背景,
"gagged","口球",配饰,
"twin_braids","双辫子",头发,
"sagging_breasts","下垂的乳房",胸部,
"puffy areolae","臃肿蓬松的乳晕",胸部,
"two-tone hair","两色头发",头发,
"Lie on your side","侧躺着",姿势,
"platform heel ((thigh boots))","厚底带跟过膝长靴",腿,
"underwear","内衣",衣服,
"microskirt","微型短裙",裙子,
"groping","抚摸",姿势,
"baseball_cap","棒球帽",配饰,
"areola_slip","从衣服边露出乳晕",胸部,
"clothes_lift","撩起衣服",姿势,
"closed eyes","闭眼",眼,
"classroom","教室",背景建筑,
"exoskeleton","外骨骼",衣服,
"cold attitude","冷淡的表情（可能需要与负面词cold搭配使用）",脸,
"leggings","紧身裤",裤子,
"frock","罩衫",衣服,
"naked apron","棵体围裙",NSFW,
"black pleated skirt","黑百褶裙",裙子,
"handcuffs","手铐",手套,
"pantyhose","裤袜",袜子,
"Taoist robe","道袍",衣服,
"Tactical gloves","战术手套",手套,
"Samurai Sword","武士刀",配饰,
"To reveal the forehead","露额头（没有刘海）",头发,
"short sleeves","短袖",手套,
"Oilpaper umbrella","油纸伞",配饰,
"navel piercing","脐钉",配饰,
"wand,magic","法杖",配饰,
"Army overcoat","军大衣",衣服,
"Tenebrism","暗色调",风格,
"frillded shirt","荷叶边衬衫",衣服,
"white sailor dress","水手服",衣服,
"white panties","白色的内裤",裤子,
"indian style","盘腿坐",姿势,
"Exoskeleton Mecha","外骨骼机甲",衣服,
"stairs","楼梯",背景建筑,
"pregnant","怀孕",NSFW,
"Conceptual art of futuristic yin-yang swordsmen","未来+阴阳 概念",风格,
"mosaic","拼接款",衣服,
"dynamic pose","动态姿势",姿势,
"pink_eyes","粉色眼睛",颜色,
"salute","敬礼",姿势,
"knees together feet apart","双膝并拢脚分开",腿,
"three sided view","三视图",视角,
"Battle Robe","战袍",衣服,
"sexy lingerie","性感内衣",衣服,
"floral headwear","鲜花头饰",饰品,
"fox mask","狐狸面具",配饰,
"rope tied up","捆绑（绳子）",NSFW,
"mechanical clothes","机械服装",衣服,
"Dynamic hair","动态头发",头发,
"Glazed pupils","琉璃瞳孔",眼,
"[Battle Robe:Exoskeleton Mecha:0.3]","机械战甲",衣服,
"Put your hands in your pockets","把手放在口袋里",手,
"slim legs","细腿",腿,
"lace-trimmed panties","蕾丝边胖次",裤子,
"cropped shoulders","露肩",衣服,
"vibrator","跳蛋",配饰,
"nun clothes","修女服",衣服,
"latex glove","乳胶手套",手套,
"raindrop","雨滴（效果极好）",背景,
"armored dress","盔甲裙",裙子,
"High heeled evening shoes","高跟礼鞋",鞋子,
"medal","勋章",饰品,
"red flag","红旗",饰品,
"capelet","披肩",配饰,
"Standing collar long windbreaker","长袖运动服（直译为立领长风衣）",衣服,
"sleeveless shirt","无袖衬衫",衣服,
"stained glass","（教堂的）彩绘玻璃",背景建筑,
"suspender skirt","吊带裙",裙子,
"chin","托腮",手,
"layered skirt","【补档】分层群",裙子,
"firefly","萤火虫",背景,
"petals floating in the wind","飘散的花瓣",背景,
"thong","丁字裤",裤子,
"thigh boots","过膝长靴",鞋子,
"legs apart","双腿分开",腿,
"leg up","抬腿",腿,
"prostrate, lie flat","平趴着",姿势,
"nightgown","睡衣",衣服,
"concept art","三视图进阶",视角,
"leg ring","腿环",饰品,
"magic stck","魔法棒",饰品,
"antlers","鹿角",头部,
"navel","露脐",衣服,
"Medium score","中分",头发,
"clockbackground","时钟背景",背景建筑,
"building architecture","建筑物",背景建筑,
"office lady suit","OL套装",衣服,
"tail insertion","尾巴插入（臀部出现尾巴）",配饰,
"heterochromia golden green","异色瞳",眼,
"standing","站立",姿势,
"Steampunk","蒸汽朋克风",风格,
"bodysuit","紧身连体衣",衣服,
"Skirt lift","提裙",姿势,
"miniskirt","迷你裙",裙子,
"firework","烟花",背景,
"line art","线条艺术",风格,
"Flip-flops","人字拖",鞋子,
"smug","洋洋得意",脸,
"shorts","短裤",裤子,
"Soccer team jersey","足球球衣",衣服,
"hot underware","情趣内衣",衣服,
"Guitar","吉它",配饰,
"pink_thighhighs","粉色过膝袜(By 好人)",袜子,
"ribbon-trimmed_legwear","边缘系带的日式袜子",袜子,
"pantyhose pull","拉下裤袜",袜子,
"Bunny Girl","兔女郎",衣服,
"wolf ears","狼耳",配饰,
"apron","围裙",裙子,
"hairclip","发夹",配饰,
"twin braids","双麻花辫",头发,
"lace-trimmed","蕾丝的,后面加东西就行",袜子,
"green_eyes","绿眼",颜色,
"squatting","蹲着",姿势,
"east asian architecture","东亚建物",背景建筑,
"beautiful_face","精致脸庞",脸,
"twintails","双马尾",头发,
"sitting on car","坐在车上",姿势,
"upturned nipples","爆乳",胸部,
"unbuttoned clothes","半露前胸（拉开衣效果）",胸部,
"Put hands around shoulders","双手抱肩",姿势,
"white hair,loli,swimsuit","白毛泳装萝莉",二次元,
"japanese_clothes","和服",衣服,
"crossed legs","双腿交叉",腿,
"unbuttoned clothes","武士裤",裤子,
"braid","麻花辫",头发,
"Red Plaid Shirts","红格衬衫",衣服,
"student training wear","体操服",衣服,
"white stocking","白丝(By 你不史蒂夫)",袜子,
"high helled low knee boots","高跟膝下靴",鞋子,
"zun hat","zun帽",配饰,
"fishnet pantyhose","网裤袜",袜子,
"elbow_gloves","长袖手套",手套,
"plaid skirt","格子裙",裙子,
"gill support","托腮",姿势,
"greco-roman architecture","西罗马建筑",背景建筑,
"spread legs","张开腿",姿势,
"green_thighhighs","绿色过膝",袜子,
"wings","翅膀",配饰,
"open-chest sweater","开胸毛衣",衣服,
"necktie","领带",配饰,
"micro bikini","微小比基尼",衣服,
"side-tie bikini bottom","侧系带比基尼下着",衣服,
"reverse bunny suit","逆兔女郎",衣服,
"lolita fasion","现代洛丽塔",裙子,
"wedding_dress","1婚纱",衣服,
"(magic hat)","魔法帽",配饰,
"anklet","脚环",腿,
"side-tie_panties","侧系带内裤",裤子,
"raincoat","雨衣",衣服,
"Military officer dress","军礼服",衣服,
"wedding dress","婚纱",裙子,
"pettiskirt","蓬蓬裙",裙子,
"waist apron","腰围裙",裙子,
"white ankle socks","白色短袜",袜子,
"detail fingers","精细手指",手,
"Christmas Hat","圣诞帽",配饰,
"christmas tree","圣诞树",背景建筑,
"lolita gothic","哥特式洛丽塔",裙子,
"bracelet","手链",配饰,
"bangle","手镯",配饰,
"high-waist pants","高腰裤 （低腰修改为low）",裤子,
"Space suit","宇航服（配合科幻标签）",衣服,
"christmas hat","圣诞帽",配饰,
"bodystocking","连身袜",袜子,
"sports bra","运动胸罩",衣服,
"skirt_lift","掀裙子",姿势,
"Black storm jacket","黑色冲锋衣",衣服,
"straddling","跨坐",姿势,
"Bare thigh","裸露的大腿",腿,
"torn_thighhighs","损坏了的过膝袜",腿,
"Long sleeve","长袖",手套,
"Open mouth indicating flustered","慌乱嘴型(也是艾草的嘴型)",脸,
"bareheaded","光头",头发,
"Clear picture","清晰的图片",画面效果,
"chinese clothes+leotard","中式旗袍死库水",裙子,
"rolling eyes","翻白眼",眼,
"upturned nipples","突出的乳头",胸部,
"papilla","乳首",胸部,
"Suit collar double-breasted coat","西装领双排扣大衣",衣服,
"cyan_eyes","青眼",颜色,
"French kiss, proper kiss","舌吻",姿势,
"silver_eyes","银眼",颜色,
"kimono","和服",衣服,
"nontraditional miko","改造巫女服",衣服,
"A rock with runes","符文宝石",配饰,
"pleated skirt","百褶裙",裙子,
"musical_notes","音符/五线谱",饰品,
"pencil skirt","铅笔裙",裙子,
"butterfly","蝴蝶",饰品,
"white pantyhose","白裤袜",袜子,
"long gloves","长手套",手套,
"white skirt","白色连衣裙",裙子,
"gauntlets","金属手套",手套,
"ass focus","pp焦点",视角,
"low-waist pants","高腰裤 （低腰修改为low）",裤子,
"large_breasts","趴着翘臀",姿势,
"slime dress","史莱姆装",衣服,
"sheath dress","包臀裙",裙子,
"cheerleading","啦啦隊",衣服,
"Light gauze wide sleeve skirt","轻纱广袖裙",裙子,
"nipple piercing","乳钉",胸部,
"red shorts","红色短裤",裤子,
"pleated dress","带褶连衣裙",裙子,
"skindentation","绝对领域勒肉版",腿,
"yoga pants","瑜伽裤",裤子,
"night dress","睡裙",裙子,
"off-shoulder dress","露肩连衣裙",裙子,
"open toe high","露趾高跟鞋",鞋子,
"foot focus","足部焦点",视角,
"from below","低位视角",视角,
"from below breast naked loli","低位视角",视角,
"red_scarf","红围巾",配饰,
"stiletto heels","细高跟",鞋子,
"censored choker","审查的项链",饰品,
"garter","腿环",配饰,
"jumper skirt","背心裙",裙子,
"petticoat","衬裙",裙子,
"halterdress","绕颈裙",裙子,
"sitting on bed","坐在床上",姿势,
"peaked cap","鸭舌帽",配饰,
"bent over","弯腰",姿势,
